spec_class,teff_gspphot,logg_gspphot,radius_gspphot
O,41342.062,4.0511,8.6314
O,41255.184,4.0848,8.11
O,40819.574,4.1214,7.4962
O,40769.99,4.1287,7.39
O,40489.707,4.0826,7.9138
O,40202.832,4.1042,7.5536
O,40109.934,4.1523,6.9682
O,40070.098,4.1522,6.9475
O,39972.285,3.9665,9.6408
O,39933.285,3.8935,10.8631
O,38912.816,3.9529,9.5534
O,38271.94,4.2378,5.7183
O,38071.69,4.2425,5.6362
O,38008.5,3.8892,10.2759
O,37983.594,4.2455,5.592
O,37580.918,3.7562,12.987
O,37570.355,4.2133,5.9228
O,37563.426,4.1509,6.707
O,37562.6,4.1912,5.9614
O,37556.332,4.1714,6.1374
