spec_class,teff_gspphot,logg_gspphot,radius_gspphot
K,5108.0884,3.2473,4.7392
K,4724.67,2.11,13.7975
G,5592.731,3.8846,1.9639
G,5949.629,3.9197,1.8431
K,4705.585,2.0849,28.4643
K,5089.5386,2.7439,10.2729
G,5749.947,3.9847,2.2274
G,5798.838,3.9315,1.8889
K,4892.011,2.5662,11.0072
F,6411.1055,3.9272,2.1915
K,4792.4673,2.9115,5.5377
K,4800.725,2.4777,10.8758
M,3399.8037,3.9652,0.5852
F,6153.87,3.9061,2.4057
K,4815.094,2.2973,21.8685
K,4768.342,2.5835,12.0018
K,4893.1504,2.3486,20.168
K,5015.371,2.7797,10.4843
K,4986.678,2.7365,9.7153
K,4574.2593,2.2924,11.0326
F,6051.429,3.9764,2.0765
K,4953.957,2.3671,19.452
K,4649.5723,1.2817,84.6923
G,5232.816,2.7282,9.8123
K,4887.84,3.553,2.7762
K,5197.6777,3.2944,4.508
F,6002.0493,3.6633,2.7531
G,5540.8823,3.8913,1.9949
K,4657.9546,2.323,10.4598
F,6011.8174,3.9685,2.181
G,5358.256,3.9959,1.6642
G,5786.626,3.8964,2.0217
F,6274.923,3.9817,1.6248
G,5691.7544,3.9868,1.6192
K,4839.9746,2.8011,6.1745
G,5321.732,3.3381,4.6501
F,6127.4478,3.9519,2.2055
K,5025.682,2.6884,10.5301
K,4867.1177,2.5696,11.1428
K,4944.016,3.0703,4.5194
K,4687.6167,2.1565,26.8125
F,6015.399,3.9718,1.7406
K,4877.7285,2.9234,5.3019
K,4704.2935,2.3794,9.8188
G,5758.428,3.9808,1.7788
K,4706.913,2.3749,10.9995
K,5114.489,2.3852,15.452
K,4787.6733,2.4032,17.1704
K,4723.347,2.2078,24.9307
K,5004.109,2.788,9.8778
K,4878.43,3.2134,4.6937
K,4762.2856,2.9202,5.5408
K,4938.5146,2.6423,10.2824
G,5992.018,3.6662,2.8936
F,6295.805,3.7483,2.6986
K,4766.957,2.9897,5.0861
K,4962.0303,2.9037,8.3657
K,4771.5757,3.0114,4.9296
K,4436.959,1.7978,39.0489
K,4876.54,2.9561,5.177
K,5042.933,2.7834,9.147
K,4809.879,2.5821,10.7678
G,5943.831,3.9463,2.0785
K,4633.8066,2.402,12.6203
G,5650.342,2.9045,9.0361
K,5101.13,3.6952,2.5137
K,4938.0024,2.6531,10.6617
K,4640.8306,2.3516,17.0163
K,4190.495,1.3584,41.3697
K,4942.6973,2.591,10.6894
K,4860.1943,2.5304,10.5677
K,4814.0024,2.6125,10.092
G,5289.0156,3.3192,4.8245
K,4867.6865,2.9979,4.9586
G,5781.907,3.6905,2.5478
F,6739.136,3.9778,1.9644
K,4774.1333,2.8342,6.1252
G,5650.292,3.9703,2.3376
G,5873.024,3.9876,2.1432
K,4844.408,3.1916,4.3742
K,4903.3203,2.8524,5.7374
K,5194.491,3.5599,2.6832
G,5861.5444,3.9858,2.1381
K,4798.272,2.5079,8.6877
K,5024.322,3.2579,4.6461
G,5865.6743,3.6111,2.9285
F,6032.761,3.9848,2.0851
F,6133.7817,3.9141,2.1455
G,5217.289,3.7277,2.1481
F,6480.127,3.9611,2.1418
G,5724.008,3.9479,1.6091
F,6057.179,3.9926,2.079
G,5746.277,3.8065,2.2487
F,7489.463,3.9947,2.0211
G,5838.3506,3.8651,1.9405
G,5906.729,3.9067,1.8734
G,5564.5063,3.9998,1.6075
F,6481.5713,3.9035,2.0362
F,6197.524,3.8135,2.3788
F,6010.078,3.8956,2.23
K,5079.9023,3.851,1.9127
G,5818.928,3.7656,2.4828
F,6167.8657,3.8619,2.0918
G,5302.674,3.692,2.2037
G,5547.5566,3.8256,2.1504
G,5843.6416,3.6563,2.852
G,5979.672,3.9702,1.8138
G,5988.3413,3.8427,2.0877
F,6306.335,3.8806,2.1105
G,5797.504,3.7019,2.5184
G,5724.639,3.9286,1.8649
F,6218.067,3.7832,2.3973
K,4912.9473,3.3453,3.9431
F,6164.738,3.8872,1.9689
K,4907.909,3.1061,5.8599
G,5860.244,3.9802,1.8238
K,5189.15,3.6677,2.7043
G,5407.0063,3.8005,2.1237
G,5857.581,3.9353,1.6342
G,5713.575,3.9297,1.8148
K,5150.1304,3.732,2.1774
F,6064.343,3.8717,2.0451
G,5701.0234,3.8414,1.9654
G,5947.843,3.879,1.9963
G,5639.6655,3.9374,1.8283
G,5888.1714,3.8143,2.0678
F,6653.169,3.9983,1.9647
G,5463.382,3.8323,1.8383
F,6047.3613,3.7708,2.5819
G,5603.8315,3.8755,1.8119
G,5796.0083,3.7815,2.2658
G,5229.7573,3.3715,4.481
G,5495.231,3.7995,2.0079
G,5465.464,3.8825,1.8973
G,5851.359,3.8111,2.0902
G,5709.411,3.9296,1.7794
G,5492.649,3.8016,2.026
F,6013.4644,3.8885,1.9364
G,5233.646,3.6082,2.8192
G,5909.168,3.9418,1.7892
F,6005.9355,3.8355,2.2242
G,5872.4985,3.9982,1.6391
F,6337.132,3.8263,2.4045
G,5755.78,3.9445,1.6168
G,5518.4453,3.4314,4.1816
G,5834.801,3.8518,1.9774
F,6212.0483,3.9617,1.7773
G,5258.0327,3.7796,2.1063
