router_label,spec_class,evolution_stage,n_objects,shrink_alpha,score_mode,prior_mode,mu_teff,mu_logg,mu_radius,det_cov,cond_cov,pd_cov,log_det_cov,cond_effective_cov,pd_effective_cov,n_competing_classes,log_prior,self_log_posterior_mean,self_posterior_margin_mean,self_posterior_margin_min,self_posterior_win_rate,corr_teff_logg,corr_teff_radius,corr_logg_radius
A_dwarf,A,dwarf,2097,0.15,gaussian_log_posterior_v1,uniform,8722.743711587982,4.294117167381974,1.4667157844539818,183.35767427474488,175450525.70932767,True,-19.517364086337956,901.8710727761493,True,14,-2.6390573296152584,3.159035399618879,2.5107026645837602,-1.7264399538378754,0.9861707200762995,0.20549603994146826,-0.056762661644694797,-0.9180936544146913
A_evolved,A,evolved,3000,0.15,gaussian_log_posterior_v1,uniform,8653.1075723,3.689889333333334,3.7831796333333334,47895.60844283813,32473499.775665835,True,-14.231354767634139,45.65765271082481,True,14,-2.6390573296152584,0.4636536082687438,2.2759822964236087,-108.13019870847504,0.8733333333333333,0.19697493193308974,-0.13517351669046027,-0.8911453493077032
B_dwarf,B,dwarf,1975,0.15,gaussian_log_posterior_v1,uniform,13607.322515443037,4.373052658227849,1.8229964050632912,7952.938758288123,4243421584.6433964,True,-15.096184607425556,1602.0456533497213,True,14,-2.6390573296152584,1.0189922477312305,6.314037889879888,-26.62979025896616,0.8855696202531645,0.284527404084626,0.4288695307089739,-0.7062449476962847
B_evolved,B,evolved,3000,0.15,gaussian_log_posterior_v1,uniform,13058.476411833333,3.7330498,5.112672,7514779.122973282,363524673.0746597,True,-9.57804094453433,8.754394923652447,True,14,-2.6390573296152584,-1.9695945840622093,8.241338370875349,-21.097712866351596,0.7426666666666667,-0.23125475045327454,0.3042889792225687,-0.7579970571509534
F_dwarf,F,dwarf,3000,0.15,gaussian_log_posterior_v1,uniform,6489.8159711,4.314099666666666,1.2154230666666666,42.78265970284524,77713526.00847276,True,-20.696129853931524,1340.853473846096,True,14,-2.6390573296152584,3.7965439675994572,3.214315157518465,-0.8970946117519403,0.969,-0.2514286500762926,0.432998540941494,-0.9302824197196787
F_evolved,F,evolved,3000,0.15,gaussian_log_posterior_v1,uniform,6598.872271866667,3.607189433333333,4.502576133333333,385493.5530153322,3797269.293920551,True,-12.354007925995797,80.88460447365763,True,14,-2.6390573296152584,-0.5270436384659224,1.5761793277961138,-53.222992153326814,0.7103333333333334,-0.019714294290364767,0.026417667238572043,-0.8484999237935728
G_dwarf,G,dwarf,3000,0.15,gaussian_log_posterior_v1,uniform,5502.7608139,4.571033133333333,0.7764585666666666,6.042640689370884,33999586.14657362,True,-22.17522993268264,2307.1657089877294,True,14,-2.6390573296152584,4.586497355026727,2.2370723203473455,-13.143090443223894,0.9406666666666667,-0.36678149216662637,0.3365640030145182,-0.971494372131928
G_evolved,G,evolved,3000,0.15,gaussian_log_posterior_v1,uniform,5530.1811775,3.5486540333333334,3.9801050333333334,31866.649887303836,1626791.7615774423,True,-14.743312682047865,228.2134045038835,True,14,-2.6390573296152584,0.6948769233145755,2.4740752194367754,-155.4020132328705,0.9626666666666667,0.20005334542988787,-0.07865783221548166,-0.8648917423820911
K_dwarf,K,dwarf,3000,0.15,gaussian_log_posterior_v1,uniform,4646.1154553666665,4.711467133333333,0.5747096333333334,40.87582239162223,27078963.80775657,True,-21.052628974459978,3068.1439288922193,True,14,-2.6390573296152584,3.921477703025768,3.5885946818336936,-13.552312895112347,0.8656666666666667,-0.09642997764899644,0.22738116253510404,-0.916959609107597
K_evolved,K,evolved,3000,0.15,gaussian_log_posterior_v1,uniform,4837.944251333333,3.0839989,7.418468,281137.8057943137,437582.0570762144,True,-12.705161374187341,877.7395485502685,True,14,-2.6390573296152584,-0.34679021202190663,3.4051036676606308,-489.63209802661714,0.8766666666666667,0.6012958934277172,-0.4329324913916919,-0.7780209176303955
M_dwarf,M,dwarf,3000,0.15,gaussian_log_posterior_v1,uniform,3720.879825533333,4.649369466666667,0.44308083333333326,35.5558837429769,3066660.16255274,True,-21.919609253529764,5192.446131352565,True,14,-2.6390573296152584,4.170829894254587,4.773617904287741,-1.1889215393929735,0.9973333333333333,0.08216837037661688,0.0993520572942654,-0.7009511801973799
M_evolved,M,evolved,3000,0.15,gaussian_log_posterior_v1,uniform,3654.0376570666667,0.8045503666666667,116.0594722,196483018.5357269,80634.40061478461,True,-6.559774153868652,13097.31161301245,True,14,-2.6390573296152584,-3.5722725281470247,170.9150699087474,-11.814215010386485,0.95,-0.03845745920480239,-0.19967399492784216,-0.47154525096772926
O_dwarf,O,dwarf,2341,0.15,gaussian_log_posterior_v1,uniform,31609.41540410081,4.110822469030329,5.806773558308415,687.3293384633253,34920191528.40022,True,-16.30954156624106,549.7166890383552,True,14,-2.6390573296152584,1.692993476059385,3.6009713951319147,-6.179203606519911,0.9910294745835113,0.41263133432349525,0.02293139302229133,-0.8924813770799256
O_evolved,O,evolved,3000,0.15,gaussian_log_posterior_v1,uniform,32857.559707333334,3.816032,9.847303366666667,80057.24791400992,2248025357.8887258,True,-13.049520097189387,56.785234054460176,True,14,-2.6390573296152584,-0.01279968184314515,8.913431540461332,-3.2421910498232274,0.8896666666666667,0.45962802959888016,-0.24753608715721082,-0.9294958881947936
