source_id,ra,dec,parallax,parallax_error,parallax_over_error,phot_g_mean_mag,bp_rp,ruwe,teff_gspphot,logg_gspphot,radius_gspphot
1374389600384,44.932802106149424,0.06480894307270345,1.7650550406017367,0.14989038,11.77563938905656,18.364864,2.4424076,0.9086372,3404.9011,4.4294,0.3604
3607772690688,45.03182509995005,0.14417619353633873,1.428901126139439,0.22006896,6.492969827124755,18.986055,1.9779243,1.0224324,3518.012,4.7615,0.2881
9998684033792,45.13063905356079,0.2080456754616674,0.2926128718300829,0.08151439,3.589708244772894,16.94076,0.91846275,0.977911,5319.112,4.6125,0.6699
12751758735104,45.2639349408457,0.3299225692653935,0.8377698002328412,0.078726344,10.641543347278937,16.563858,1.1850071,1.0420406,4713.445,4.4789,0.8301
13400298143232,45.098381823431005,0.25733351729394244,0.08465460907187183,0.09407397,0.8998727898465735,17.171417,0.7968979,1.0231694,5651.471,4.6737,0.6558
18283676587776,44.88651943733934,0.220369820275242,2.1917541700751517,0.083131194,26.36500285382019,17.296766,2.3596992,1.0201321,3611.8064,4.7361,0.5022
21788369897344,44.8728599024172,0.33208526720942777,2.1791184736484874,0.016236192,134.21364598661395,12.96874,0.94231606,0.9092995,5632.039,4.2862,1.1231
22990960742656,44.791517839617086,0.31289909497873725,1.9140790231374578,0.04340332,44.099829748024675,14.405825,1.2094231,1.7611576,4943.468,4.4536,0.926
25220048169856,44.8513722608146,0.3876670994611485,2.6780594334064887,0.12754981,20.99618484154138,17.751997,2.7284355,1.0330099,3358.0437,4.8186,0.4292
26048977453312,44.8418281098479,0.4076295074759714,0.9327469486076587,0.07458292,12.50617373429028,16.905231,1.3196297,1.0621581,4457.8315,4.4685,0.8168
31370441347968,44.974217490717685,0.4312848263705278,0.7996521758105893,0.17073272,4.683649202755369,18.288242,1.8614426,1.0009309,3597.4558,4.409,0.444
36077725299200,45.36820529797989,0.37550595074891857,1.6559667653094376,0.15897727,10.416374391090022,17.88927,2.5508842,1.0590662,3556.9253,4.2528,0.8332
