source_id,spec_class,evolution_stage,teff_gspphot,logg_gspphot,radius_gspphot,router_label
4105920122886613504,M,dwarf,3742.5374,4.896,0.3604,M_dwarf
5934501040400253568,M,dwarf,3562.9915,4.446,0.4491,M_dwarf
4313702286944125056,M,dwarf,3806.0115,4.8776,0.3839,M_dwarf
4148848527170701952,M,dwarf,3718.8738,4.545,0.3169,M_dwarf
2128624652762622080,M,dwarf,3558.9136,4.5219,0.4787,M_dwarf
5625161514166949120,M,dwarf,3560.7605,4.5264,0.287,M_dwarf
4147139164554039552,M,dwarf,3794.012,4.2262,0.8927,M_dwarf
4286328295712817024,M,dwarf,3359.9631,4.6112,0.3185,M_dwarf
4049252152679780992,M,dwarf,3720.393,4.4527,0.3473,M_dwarf
2733266472200635648,M,dwarf,3218.2083,4.7608,0.2249,M_dwarf
4286528235025718656,M,dwarf,3776.2725,4.5477,0.3069,M_dwarf
4069574249895547264,M,dwarf,3855.4246,4.7307,0.4351,M_dwarf
5307217905746182656,M,dwarf,3827.5051,4.9173,0.3483,M_dwarf
5338836316793719168,M,dwarf,3807.2673,4.8427,0.4116,M_dwarf
4478066905789941632,M,dwarf,3526.8337,4.4691,0.2961,M_dwarf
5978923779773336064,M,dwarf,3881.1775,4.2427,0.454,M_dwarf
4680472943330124544,M,dwarf,3244.1274,4.6273,0.2442,M_dwarf
4111230175631259264,M,dwarf,3960.5408,4.9711,0.3148,M_dwarf
2013434664982766336,M,dwarf,3818.5183,4.9137,0.3451,M_dwarf
3041605335480028032,M,dwarf,3689.8015,4.5036,0.5,M_dwarf
5862072150752549376,M,dwarf,3818.8054,4.9151,0.3542,M_dwarf
4066429646649383936,M,dwarf,3807.353,4.0763,1.0318,M_dwarf
5626341152706427904,M,dwarf,3727.9312,4.571,0.5851,M_dwarf
5290885618267294208,M,dwarf,3923.8516,4.8618,0.4034,M_dwarf
5964736643794380288,M,dwarf,3739.6086,4.2404,0.4268,M_dwarf
4273781665441878912,M,dwarf,3705.029,4.043,0.7651,M_dwarf
2033633342113242240,M,dwarf,3857.6306,4.9116,0.3592,M_dwarf
1784117457570524800,M,dwarf,3556.5913,4.3187,0.8242,M_dwarf
4263985669676864256,M,dwarf,3699.7222,4.4076,0.3188,M_dwarf
5214925720023958912,M,dwarf,3610.3237,4.7374,0.516,M_dwarf
1987984849144550784,M,dwarf,3943.2974,4.9179,0.3604,M_dwarf
5967503805324711680,M,dwarf,3903.0356,4.8347,0.4096,M_dwarf
201755264099367808,M,dwarf,3359.764,4.7568,0.3086,M_dwarf
6511230039178478848,M,dwarf,3502.224,4.3813,0.7814,M_dwarf
4107315811335770880,M,dwarf,3592.36,4.4187,0.4779,M_dwarf
6726916970300872576,M,dwarf,3887.4683,4.8212,0.4329,M_dwarf
6026018787672540544,M,dwarf,3615.9153,4.8916,0.3071,M_dwarf
4069361326907149952,M,dwarf,3703.3271,4.8736,0.3835,M_dwarf
2535738143118927360,M,dwarf,3524.0466,4.6382,0.3137,M_dwarf
4096916046064691328,M,dwarf,3869.4233,4.6527,0.5053,M_dwarf
3182506689721794816,M,dwarf,3406.35,4.935,0.329,M_dwarf
4156406840670113024,M,dwarf,3737.3694,4.4905,0.4624,M_dwarf
458514662527468672,M,dwarf,3743.3694,4.9639,0.3036,M_dwarf
5615887099229615744,M,dwarf,3343.4912,4.6079,0.2682,M_dwarf
4663876987848401536,M,dwarf,3554.3936,4.5394,0.4785,M_dwarf
4265760006561101568,M,dwarf,3790.806,4.1739,0.9675,M_dwarf
6124626112875221248,M,dwarf,3974.764,4.8013,0.4564,M_dwarf
4041040617514309760,M,dwarf,3828.312,4.9527,0.2142,M_dwarf
4275634342532558720,M,dwarf,3758.3188,4.917,0.3481,M_dwarf
5334575606155053696,M,dwarf,3423.1448,4.4405,0.578,M_dwarf
5328845329508755456,M,dwarf,3809.2493,4.2571,0.4097,M_dwarf
1161241440375566080,M,dwarf,3431.3743,4.8378,0.4107,M_dwarf
4117392564713110912,M,dwarf,3959.6167,4.4163,0.5648,M_dwarf
2932494577542985344,M,dwarf,3276.7969,4.8548,0.3946,M_dwarf
4144732432389473408,M,dwarf,3808.7412,4.526,0.5711,M_dwarf
2004170111281760128,M,dwarf,3663.4072,4.4026,0.3614,M_dwarf
5639331848225294848,M,dwarf,3764.1934,4.8426,0.4101,M_dwarf
5559796887925025152,M,dwarf,3501.2188,4.4791,0.5021,M_dwarf
5871798847258673920,M,dwarf,3844.3267,4.7377,0.5198,M_dwarf
2227047161246952320,M,dwarf,3784.9832,4.9359,0.3402,M_dwarf
5944162788382848128,M,dwarf,3933.0496,4.5206,0.3563,M_dwarf
4120072658655436672,M,dwarf,3855.524,4.8275,0.4256,M_dwarf
2405501196967459456,M,dwarf,3341.572,4.9381,0.308,M_dwarf
6857393266385597696,M,dwarf,3363.7983,4.8245,0.423,M_dwarf
3322871404979144448,M,dwarf,3569.911,4.8045,0.4329,M_dwarf
3134958275022630528,M,dwarf,3960.247,4.8855,0.3851,M_dwarf
4051644307651918208,M,dwarf,3996.5898,4.9662,0.3248,M_dwarf
5337426987712873984,M,dwarf,3677.5688,4.5423,0.2971,M_dwarf
5864810901075148288,M,dwarf,3998.1062,4.9312,0.35,M_dwarf
974006056253255552,M,dwarf,3565.2866,4.432,0.5138,M_dwarf
4310167425785341952,M,dwarf,3881.0283,4.2486,1.0275,M_dwarf
5887265535537803776,M,dwarf,3727.573,4.2375,0.4331,M_dwarf
4265377479596367488,M,dwarf,3567.4128,4.4277,0.4646,M_dwarf
5966758065864219264,M,dwarf,3769.3071,4.898,0.3249,M_dwarf
4277527151805382016,M,dwarf,3659.4395,4.5621,0.5568,M_dwarf
4155296028991452032,M,dwarf,3552.589,4.5222,0.4574,M_dwarf
6739691371264906240,M,dwarf,3676.7615,4.7207,0.5085,M_dwarf
4103225838355921408,M,dwarf,3601.388,4.9171,0.3313,M_dwarf
1308268650638218752,M,dwarf,3196.2102,5.0205,0.2448,M_dwarf
4090562934735084416,M,dwarf,3909.497,4.419,0.5812,M_dwarf
6032606472937106048,M,dwarf,3995.515,4.9795,0.2981,M_dwarf
4109107121759067136,M,dwarf,3813.0112,4.4603,0.5056,M_dwarf
5335135090118791808,M,dwarf,3661.7666,4.4336,0.5053,M_dwarf
5959534514980487552,M,dwarf,3797.5837,4.8747,0.3847,M_dwarf
4173510431237826560,M,dwarf,3966.79,4.8858,0.378,M_dwarf
3980384615428089216,M,dwarf,3528.8071,4.6198,0.3192,M_dwarf
190835601805131904,M,dwarf,3985.5012,4.787,0.2444,M_dwarf
5893891540520451072,M,dwarf,3907.2078,4.8932,0.3658,M_dwarf
4150948727514589312,M,dwarf,3783.043,4.7755,0.4705,M_dwarf
1851453959137009920,M,dwarf,3419.1519,4.6201,0.3621,M_dwarf
5979980444855806336,M,dwarf,3603.2983,4.3985,0.336,M_dwarf
4059717201276349056,M,dwarf,3691.232,4.4317,0.5027,M_dwarf
277258555778452864,M,dwarf,3926.0774,4.9261,0.354,M_dwarf
5295063143977844608,M,dwarf,3986.5295,4.6205,0.3602,M_dwarf
1891359324914273664,M,dwarf,3889.3809,4.7017,0.5505,M_dwarf
5612692743069330176,M,dwarf,3970.8208,4.9765,0.3129,M_dwarf
4520062649338381952,M,dwarf,3998.8196,4.2721,0.4909,M_dwarf
5355045699469175040,M,dwarf,3713.431,4.053,0.7557,M_dwarf
6008804863676823552,M,dwarf,3478.0042,4.5061,0.2817,M_dwarf
2177690977630088320,M,dwarf,3894.4146,4.8262,0.4294,M_dwarf
5899724685911756160,M,dwarf,3844.8416,4.8747,0.3896,M_dwarf
3564056015039140736,M,dwarf,3780.9148,4.4655,0.7711,M_dwarf
5002457948497455232,M,dwarf,3770.1184,4.7374,0.517,M_dwarf
4069115998377054464,M,dwarf,3803.2168,4.4255,0.5375,M_dwarf
168128320166206848,M,dwarf,3615.0835,4.7492,0.4963,M_dwarf
1100007030780228864,M,dwarf,3487.8418,4.7721,0.4758,M_dwarf
1833377747474849280,M,dwarf,3802.8953,4.4841,0.4384,M_dwarf
5943313969709105792,M,dwarf,3315.218,4.4569,0.5249,M_dwarf
5338243031498985600,M,dwarf,3976.139,5.0052,0.277,M_dwarf
4269053048231124864,M,dwarf,3684.7754,4.4363,0.3542,M_dwarf
2059877653875814656,M,dwarf,3784.2021,4.9028,0.3642,M_dwarf
4259307870468685696,M,dwarf,3697.4766,4.05,1.0298,M_dwarf
4516046893577056384,M,dwarf,3700.876,4.3558,0.3718,M_dwarf
2352936191743416832,M,dwarf,3502.5703,4.6053,0.3781,M_dwarf
5852297599740003712,M,dwarf,3881.61,4.9171,0.3547,M_dwarf
5976121743102487680,M,dwarf,3787.983,4.4164,0.5089,M_dwarf
1895767610630375936,M,dwarf,3925.6184,4.8543,0.4118,M_dwarf
5881255879861409536,M,dwarf,3617.1184,4.219,0.7885,M_dwarf
4078649726272956672,M,dwarf,3996.2761,4.9516,0.327,M_dwarf
500731785862131584,M,dwarf,3876.129,4.8346,0.3966,M_dwarf
234098532501233280,M,dwarf,3657.5254,5.0336,0.2383,M_dwarf
5961820708939964544,M,dwarf,3972.4104,4.8001,0.4538,M_dwarf
4296312999454883968,M,dwarf,3633.5457,4.4741,0.297,M_dwarf
6873519635930161024,M,dwarf,3753.3867,4.7229,0.5033,M_dwarf
1829409468255548032,M,dwarf,3413.7126,4.6317,0.3533,M_dwarf
4302257195536169472,M,dwarf,3989.4546,4.9577,0.2687,M_dwarf
5889319599358387328,M,dwarf,3957.4937,4.9691,0.3232,M_dwarf
2170885412971724416,M,dwarf,3904.7053,4.4821,0.572,M_dwarf
2177577796652410112,M,dwarf,3715.372,4.2855,0.3855,M_dwarf
4075464269280462464,M,dwarf,3742.7612,4.426,0.5303,M_dwarf
6787683718083889280,M,dwarf,3417.6748,4.1636,0.9487,M_dwarf
4095289799661099520,M,dwarf,3701.181,4.8032,0.4414,M_dwarf
3229550011973373312,M,dwarf,3594.3486,4.3883,0.7259,M_dwarf
6342654423940585728,M,dwarf,3701.9307,4.3884,0.7469,M_dwarf
2373589280720727040,M,dwarf,3661.618,4.7718,0.4727,M_dwarf
4253686926588478720,M,dwarf,3678.4734,4.4369,0.4688,M_dwarf
4111270513962923008,M,dwarf,3993.675,4.3394,0.592,M_dwarf
6085316510598683008,M,dwarf,3645.2998,4.6129,0.3255,M_dwarf
2065237773065810432,M,dwarf,3840.0278,4.1114,0.7818,M_dwarf
6028611466144637824,M,dwarf,3699.4885,4.5939,0.5516,M_dwarf
4066344988546036864,M,dwarf,3590.8972,4.5799,0.2912,M_dwarf
4117851026628221824,M,dwarf,3778.0972,4.4695,0.3683,M_dwarf
4158263537853682048,M,dwarf,3595.063,4.4361,0.4647,M_dwarf
5564045503934218496,M,dwarf,3504.9304,4.6102,0.3083,M_dwarf
197097492324200576,M,dwarf,3990.1094,4.9012,0.3709,M_dwarf
5989824853443539712,M,dwarf,3647.0452,4.3905,0.3589,M_dwarf
3425190960626872576,M,dwarf,3568.596,4.8908,0.3598,M_dwarf
4733786170513097984,M,dwarf,3568.6606,4.8846,0.3742,M_dwarf
5959276301549194880,M,dwarf,3683.2788,4.4369,0.487,M_dwarf
124178671442717312,M,dwarf,3295.8718,4.6949,0.2985,M_dwarf
1854102609631376256,M,dwarf,3490.899,4.6024,0.381,M_dwarf
5720949730229732480,M,dwarf,3524.5789,4.8882,0.3698,M_dwarf
