source_id,spec_class,host_posterior,final_score,priority_tier,teff_gspphot,logg_gspphot,radius_gspphot
432750669838235648,M,0.9986,0.8918,HIGH,2963.067,5.034,0.222
342802853386881408,M,0.9906,0.8846,HIGH,3094.217,4.994,0.26
460225472553171840,M,0.9876,0.8724,HIGH,3094.812,4.904,0.339
257543659456732160,M,0.9766,0.8721,HIGH,3166.36,4.99,0.268
329380560894228736,M,0.9698,0.8661,HIGH,3185.346,4.965,0.292
632645972577236608,M,0.9585,0.856,HIGH,3209.221,4.92,0.336
142224616488164096,M,0.9368,0.8366,HIGH,3247.452,4.89,0.363
1467945536018806144,M,0.9894,0.8303,HIGH,3092.779,4.947,0.303
395389226074355072,M,0.9761,0.8191,HIGH,3168.537,4.994,0.264
940039595155578240,M,0.9978,0.812,HIGH,2959.391,4.794,0.315
