source_id,spec_class,host_posterior,final_score,priority_tier,teff_gspphot,logg_gspphot,radius_gspphot
432750669838235648,M,0.9986,0.7779,HIGH,2963.067,5.034,0.222
342802853386881408,M,0.9906,0.7717,HIGH,3094.217,4.994,0.26
257543659456732160,M,0.9766,0.7608,HIGH,3166.36,4.99,0.268
329380560894228736,M,0.9698,0.7555,HIGH,3185.346,4.965,0.292
632645972577236608,M,0.9585,0.7467,HIGH,3209.221,4.92,0.336
412783469966211456,K,0.9427,0.7415,HIGH,5047.193,4.494,0.895
142224616488164096,M,0.9368,0.7298,HIGH,3247.452,4.89,0.363
303350039722742144,M,0.9276,0.6937,HIGH,3264.505,4.943,0.316
1077819195369141248,M,0.9914,0.691,HIGH,3093.947,5.033,0.229
289747564759787008,M,0.877,0.6832,HIGH,3319.086,4.831,0.416
