Приоритет,Место,source_id,Класс,"Host-like, %",final_score,RA,DEC
1,1,412783469966211456,K,93.81,0.7379,23.9637,56.6982
1,2,1605198298364601088,K,89.86,0.6531,218.3689,52.9099
1,3,417872314714045056,K,81.37,0.6339,10.4348,53.9464
1,4,1575553540733945088,K,88.69,0.5969,180.0938,58.0068
1,5,646069390349347840,K,86.22,0.5743,142.5276,25.9504
1,6,2009812976760907136,K,91.68,0.5661,344.8013,56.5873
1,7,422188486273959552,K,90.22,0.5571,5.2329,58.4972
1,8,1795675321939484544,K,89.82,0.5546,330.3526,24.79
1,9,1809920766401022976,K,92.94,0.5509,304.032,17.3515
1,10,1970498667200180352,K,88.61,0.5472,321.5054,43.2417
