source_id,ra,dec,parallax,parallax_over_error,ruwe,bp_rp,teff_gspphot,logg_gspphot,radius_gspphot,mh_gspphot,validation_factor,predicted_spec_class,predicted_evolution_stage,router_label,d_mahal_router,router_similarity,router_log_likelihood,router_log_posterior,second_best_label,margin,posterior_margin,router_model_version,run_id,gauss_label,host_log_likelihood,field_log_likelihood,host_log_lr,host_posterior,class_prior,reliability_factor,quality_factor,followup_factor,metallicity_factor,color_factor,host_score,final_score,d_mahal,similarity,priority_tier,reason_code,host_model_version
432750669838235648,44.071182,43.677654,6.9925094,22.48168,1.0546137,3.2717648,2963.0667,5.0335,0.2215,0.0342,1.0,M,dwarf,M_dwarf,4.385450634530949,0.1856854825830366,-1.4130996068030885,-4.052156936418347,K_dwarf,0.9471483930965245,5.035707700307681,gaussian_router_v1,gaia_pipeline_20260319T115539Z_f5dc32c6,M_LATE,-0.8034752669944152,-7.394668934380544,6.591193667386129,0.9986294801071564,1.0,1.0,1.0,0.82,0.95,1.0,0.9486980061017984,0.7779323650034746,,,HIGH,HOST_SCORING,gaussian_host_field_v1_host_vs_field_log_lr_v1_msub_True_shrink_0.15
412783469966211456,23.963734,56.698196,19.029684,1378.2506,1.0795588,1.0605831,5047.193,4.4938,0.8951,0.2684,1.0,K,dwarf,K_dwarf,1.6444183840473712,0.3781549871353815,6.417442976719487,3.7783856471042285,G_dwarf,0.7753843713484478,1.014366297502784,gaussian_router_v1,gaia_pipeline_20260319T115539Z_f5dc32c6,K,0.8762968656666659,-1.8421286099073648,2.7184254755740307,0.9381051738154236,0.95,1.0,1.0,0.92,1.0,0.9,0.8911999151246524,0.7379135297232122,,,HIGH,HOST_SCORING,gaussian_host_field_v1_host_vs_field_log_lr_v1_msub_True_shrink_0.15
1647239323747426048,235.56238,68.706535,6.0845194,30.996815,1.1526799,3.1196022,2993.3215,5.1293,0.1708,-0.348,1.0,M,dwarf,M_dwarf,4.399944138764256,0.18518710088524062,-1.4767651849721002,-4.115822514587359,K_dwarf,0.9838912669477464,5.246577765310988,gaussian_router_v1,gaia_pipeline_20260319T115539Z_f5dc32c6,M_LATE,-0.4586714224068893,-4.698546906870002,4.239875484463113,0.9857952951502749,1.0,0.96,0.96,0.82,0.85,1.0,0.8379260008777336,0.6596153478909519,,,HIGH,HOST_SCORING,gaussian_host_field_v1_host_vs_field_log_lr_v1_msub_True_shrink_0.15
1605198298364601088,218.36887,52.909893,75.56888,5014.8037,0.9579763,1.2133923,4666.703,4.5354,0.7814,-0.1233,1.0,K,dwarf,K_dwarf,0.8824811434388953,0.5312138203802729,7.38011240335336,4.741055073738101,G_dwarf,2.3799358271799522,7.7202657645805495,gaussian_router_v1,gaia_pipeline_20260319T115539Z_f5dc32c6,K,1.3028026858529969,-0.8794591832734913,2.182261869126488,0.8986452733843892,0.95,1.0,1.0,1.0,0.85,0.9,0.7256560582578941,0.6530904524321047,,,HIGH,HOST_SCORING,gaussian_host_field_v1_host_vs_field_log_lr_v1_msub_True_shrink_0.15
417872314714045056,10.434837,53.9464,6.1302524,423.94025,1.0242848,1.6320858,4422.3076,4.6206,0.6955,0.4768,1.0,K,dwarf,K_dwarf,0.9368060802688376,0.5163139511939138,7.330696071601639,4.691638741986381,M_dwarf,2.739312741524158,6.706692969061599,gaussian_router_v1,gaia_pipeline_20260319T115539Z_f5dc32c6,K,0.5455972668203746,-0.9288755150252035,1.474472781845578,0.8137362750976491,0.95,1.0,1.0,0.82,1.0,1.0,0.7730494613427666,0.6339005583010686,,,HIGH,HOST_SCORING,gaussian_host_field_v1_host_vs_field_log_lr_v1_msub_True_shrink_0.15
1575553540733945088,180.09383,58.006832,5.700318,449.17398,1.1537241,1.276784,4646.064,4.5797,0.7481,0.225,1.0,K,dwarf,K_dwarf,0.7218892677045385,0.5807574382138442,7.508936830202473,4.869879500587215,G_dwarf,2.716917930868032,7.9406957102849365,gaussian_router_v1,gaia_pipeline_20260319T115539Z_f5dc32c6,K,1.3088487274343277,-0.7506347564243785,2.059483483858706,0.8869023703256065,0.95,0.96,0.96,0.82,1.0,0.9,0.8425572518093262,0.5969349617618713,,,HIGH,HOST_SCORING,gaussian_host_field_v1_host_vs_field_log_lr_v1_msub_True_shrink_0.15
210741302047545728,86.03351,48.07883,4.600997,17.79941,1.002755,3.3768806,3152.713,4.447,0.6207,0.1552,1.0,M,dwarf,M_dwarf,3.267845418756173,0.23431026709759356,2.863582186708009,0.22452485709275072,B_dwarf,0.2000509881462662,4.0854582271126745,gaussian_router_v1,gaia_pipeline_20260319T115539Z_f5dc32c6,M_LATE,-3.8842885062472305,-45.799504291249754,41.91521578500252,1.0,1.0,0.96,0.96,0.65,0.95,1.0,0.95,0.5928,,,HIGH,HOST_SCORING,gaussian_host_field_v1_host_vs_field_log_lr_v1_msub_True_shrink_0.15
940039595155578240,105.60728,36.306118,4.363207,15.565728,1.0048931,3.1592884,2959.391,4.7945,0.3154,0.122,1.0,M,dwarf,M_dwarf,4.116522837883495,0.19544523335180908,-0.26989111025732804,-2.9089484398725864,K_dwarf,0.6979791509332598,5.448927853500923,gaussian_router_v1,gaia_pipeline_20260319T115539Z_f5dc32c6,M_LATE,-0.986427506916173,-14.251170682911955,13.264743175995783,0.9999982654194133,1.0,0.96,0.96,0.65,0.95,1.0,0.9499983521484425,0.5927989717406281,,,HIGH,HOST_SCORING,gaussian_host_field_v1_host_vs_field_log_lr_v1_msub_True_shrink_0.15
1935914972047259008,343.42792,45.46305,6.0746684,257.66507,1.0665098,2.5530834,3521.6428,4.5187,0.6444,-0.2435,1.0,M,dwarf,M_dwarf,1.6700818687550976,0.37452035149253354,6.808402302978604,4.169344973363346,K_dwarf,1.8712566708332032,5.736890044974093,gaussian_router_v1,gaia_pipeline_20260319T115539Z_f5dc32c6,M_EARLY,-0.5759370054580271,-2.276319361795967,1.7003823563379399,0.8455846662541826,1.0,1.0,1.0,0.82,0.85,1.0,0.7187469663160552,0.5893725123791652,,,HIGH,HOST_SCORING,gaussian_host_field_v1_host_vs_field_log_lr_v1_msub_True_shrink_0.15
361062065031129984,13.014249,32.46119,5.2103043,99.93948,0.977539,2.591302,3527.254,4.7773,0.4713,0.0507,1.0,M,dwarf,M_dwarf,1.3872092982719053,0.4188991726548223,7.2408142085448475,4.601756878929589,K_dwarf,2.0843077253141438,5.497030543452746,gaussian_router_v1,gaia_pipeline_20260319T115539Z_f5dc32c6,M_EARLY,-1.0942937739920189,-2.2034234158655273,1.1091296418735084,0.7519668141763173,1.0,1.0,1.0,0.82,0.95,1.0,0.7143684734675014,0.5857821482433512,,,HIGH,HOST_SCORING,gaussian_host_field_v1_host_vs_field_log_lr_v1_msub_True_shrink_0.15
