observation_priority,rank_in_priority,source_id,ra,dec,predicted_spec_class,predicted_evolution_stage,host_like_percent,host_like_profile,final_score,reason_code
1,1,412783469966211456,23.963734,56.698196,K,dwarf,93.81,K,0.7379135297232122,HOST_SCORING
1,2,1605198298364601088,218.36887,52.909893,K,dwarf,89.86,K,0.6530904524321047,HOST_SCORING
1,3,417872314714045056,10.434837,53.9464,K,dwarf,81.37,K,0.6339005583010686,HOST_SCORING
1,4,1575553540733945088,180.09383,58.006832,K,dwarf,88.69,K,0.5969349617618713,HOST_SCORING
1,5,646069390349347840,142.52757,25.950417,K,dwarf,86.22,K,0.5742774765832448,HOST_SCORING
1,6,2009812976760907136,344.80133,56.58731,K,dwarf,91.68,K,0.5661061576264071,HOST_SCORING
1,7,422188486273959552,5.232885,58.497204,K,dwarf,90.22,K,0.5571228097340325,HOST_SCORING
1,8,1795675321939484544,330.35257,24.789967,K,dwarf,89.82,K,0.5546250043063432,HOST_SCORING
1,9,1809920766401022976,304.03195,17.351519,K,dwarf,92.94,K,0.5509455329853957,HOST_SCORING
1,10,1970498667200180352,321.50543,43.241745,K,dwarf,88.61,K,0.5471738158671635,HOST_SCORING
1,11,273059215932817280,72.40671,53.35922,K,dwarf,93.25,K,0.5469990046668785,HOST_SCORING
1,12,532111783299089152,22.631739,68.9662,K,dwarf,93.08,K,0.5460020110069517,HOST_SCORING
1,13,1863187534912698624,309.68616,33.064037,K,dwarf,88.39,K,0.5457787127530195,HOST_SCORING
1,14,2012757194023841920,357.68045,61.575317,K,dwarf,92.86,K,0.5447475631159945,HOST_SCORING
1,15,1992755119001227008,351.85825,53.44222,K,dwarf,88.06,K,0.5437884689746754,HOST_SCORING
1,16,2047952148927636480,296.57288,36.366108,K,dwarf,92.7,K,0.5437807228512594,HOST_SCORING
1,17,217788381308887552,55.066303,33.707165,K,dwarf,92.43,K,0.5422236757050661,HOST_SCORING
1,18,1876850513070799104,341.8955,25.559292,K,dwarf,87.76,K,0.5419436679112783,HOST_SCORING
1,19,116819060300509568,44.260773,28.161459,K,dwarf,87.54,K,0.5405753057263222,HOST_SCORING
1,20,2068587783135629440,304.47592,41.54007,K,dwarf,87.5,K,0.5402949003117208,HOST_SCORING
1,21,1816493440755009536,304.5314,19.944084,K,dwarf,90.98,K,0.5393152646288407,HOST_SCORING
1,22,1963719353375404416,321.48325,36.67389,K,dwarf,87.13,K,0.5380273437682213,HOST_SCORING
1,23,210610318429491712,85.02355,47.590897,K,dwarf,87.12,K,0.5379454144717587,HOST_SCORING
1,24,54884979056532608,52.64254,17.457626,K,dwarf,91.69,K,0.5378877828022282,HOST_SCORING
1,25,2015629187112117120,354.04733,62.252728,K,dwarf,91.57,K,0.5371733551605418,HOST_SCORING
1,26,546770884634203136,38.72766,73.323944,K,dwarf,91.46,K,0.5365032912251514,HOST_SCORING
1,27,311192993598719744,13.801809,28.946255,K,dwarf,86.7,K,0.5353911986327436,HOST_SCORING
