model_name,metric_name,train_scope,test_scope,train_value,test_value,train_minus_test,abs_train_test_gap,is_refit_metric,cv_summary_scope,cv_score_mean,cv_score_std,cv_score_min,cv_score_max,cv_minus_test
baseline_legacy_gaussian,brier,in_sample_refit,holdout_test,0.1478362517635007,0.14831646941500448,-0.0004802176515037726,0.0004802176515037726,False,,,,,,
baseline_legacy_gaussian,pr_auc,in_sample_refit,holdout_test,0.5727715989569546,0.5712974538655452,0.0014741450914094179,0.0014741450914094179,False,,,,,,
baseline_legacy_gaussian,precision_at_k,in_sample_refit,holdout_test,0.74,0.72,0.020000000000000018,0.020000000000000018,False,,,,,,
baseline_legacy_gaussian,roc_auc,in_sample_refit,holdout_test,0.8459764411027569,0.8464098789663068,-0.00043343786354987923,0.00043343786354987923,True,model,0.8437085846997027,0.0,0.0,0.0,-0.0027012942666041484
baseline_mlp_small,brier,in_sample_refit,holdout_test,0.08604290411653742,0.09013867729439858,-0.004095773177861153,0.004095773177861153,False,,,,,,
baseline_mlp_small,pr_auc,in_sample_refit,holdout_test,0.7781791001797697,0.7555337525230722,0.022645347656697457,0.022645347656697457,False,,,,,,
baseline_mlp_small,precision_at_k,in_sample_refit,holdout_test,0.98,0.92,0.05999999999999994,0.05999999999999994,False,,,,,,
baseline_mlp_small,roc_auc,in_sample_refit,holdout_test,0.928655313283208,0.9227281648675173,0.005927148415690753,0.005927148415690753,True,class_weighted_mean,0.881693778738335,0.0,0.0,0.0,-0.04103438612918231
baseline_random_forest,brier,in_sample_refit,holdout_test,0.0335572411197233,0.09008069748793765,-0.05652345636821435,0.05652345636821435,False,,,,,,
baseline_random_forest,pr_auc,in_sample_refit,holdout_test,0.9854597058618272,0.7617962160980297,0.22366348976379746,0.22366348976379746,False,,,,,,
baseline_random_forest,precision_at_k,in_sample_refit,holdout_test,1.0,0.92,0.07999999999999996,0.07999999999999996,False,,,,,,
baseline_random_forest,roc_auc,in_sample_refit,holdout_test,0.9959769423558897,0.9326038599934577,0.063373082362432,0.063373082362432,True,class_weighted_mean,0.9127087491942011,0.0,0.0,0.0,-0.019895110799256654
main_contrastive_v1,brier,in_sample_refit,holdout_test,0.14662653030246053,0.1543242570187103,-0.00769772671624977,0.00769772671624977,False,,,,,,
main_contrastive_v1,pr_auc,in_sample_refit,holdout_test,0.6208756055593947,0.5903988181228631,0.030476787436531594,0.030476787436531594,False,,,,,,
main_contrastive_v1,precision_at_k,in_sample_refit,holdout_test,0.78,0.72,0.06000000000000005,0.06000000000000005,False,,,,,,
main_contrastive_v1,roc_auc,in_sample_refit,holdout_test,0.8767872180451128,0.8673702431577799,0.009416974887332952,0.009416974887332952,True,model,0.875409910799763,0.0,0.0,0.0,0.008039667641983161
